Station Name,Opened,Line,Latitude,Longitude
Battistini,2000,A,41.906461,12.414722
Cornelia,2000,A,41.902222,12.425278
Baldo degli Ubaldi,2000,A,41.898889,12.432778
Valle Aurelia,1999,A,41.903056,12.441667
Cipro,1999,A,41.9075,12.4475
Ottaviano - San Pietro - Musei Vaticani,1980,A,41.909444,12.458056
Lepanto,1980,A,41.911389,12.466111
Flaminio - Piazza del Popolo,1980,A,41.911944,12.475833
Spagna,1980,A,41.9065,12.483056
Barberini - Fontana di Trevi,1980,A,41.903889,12.488889
Repubblica - Teatro dell'Opera,1980,A,41.9025,12.495556
Termini,1980,A,41.901542,12.500596
Vittorio Emanuele,1980,A,41.894444,12.504167
Manzoni – Museo della Liberazione ,1980,A,41.890278,12.506944
San Giovanni,2018,A,41.885278,12.509444
Re di Roma,1980,A,41.8816351,12.5144046
Ponte Lungo ,1980,A,41.8778448,12.5189574
Furio Camillo ,1980,A,41.874722,12.523056
Colli Albani,1980,A,41.8694,12.5301
Arco di Travertino,1980,A,41.8667048,12.5350705
Porta Furba - Quadraro,1980,A,41.86379,12.5482062
Numidio Quadrato ,1980,A,41.8621329,12.5526576
Lucio Sestio ,1980,A,41.8596969,12.5572829
Giulio Agricola,1980,A,41.8565979,12.5626327
Subaugusta,1980,A,41.8538307,12.5677011
Cinecittà,1980,A,41.8493002,12.5743771
Anagnina,1980,A,41.842778,12.586111
Rebibbia,1990,B,41.925833,12.573056
Ponte Mammolo,1990,B,41.920556,12.565
Santa Maria del Soccorso,1990,B,41.915556,12.560833
Pietralata,1990,B,41.914722,12.555
Monti Tiburtini,1990,B,41.915833,12.547778
Quintiliani,2003,B,41.915556,12.538611
Tiburtina,1990,B,41.910833,12.529444
Jonio,2015,B,41.946389,12.528056
Conca d'Oro,2012,B,41.939444,12.527778
Libia,2012,B,41.932778,12.520556
Sant'Agnese - Annibaliano,2012,B,41.923889,12.515833
Bologna,1990,B,41.913333,12.520556
Policlinico,1990,B,41.908889,12.511667
Castro Pretorio,1990,B,41.906111,12.505556
Termini,1955,B,41.901542,12.500596
Cavour,1955,B,41.895,12.493611
Colosseo,1955,B,41.891389,12.491389
Circo Massimo,1955,B,41.883611,12.488056
Piramide,1955,B,41.875556,12.482222
Garbatella,1990,B,41.866667,12.483333
Basilica S. Paolo,1955,B,41.856111,12.478194
Marconi,1990,B,41.849444,12.475556
EUR Magliana,1955,B,41.839444,12.463333
EUR Palasport,1955,B,41.83,12.466667
EUR Fermi,1955,B,41.828611,12.471111
Laurentina,1955,B,41.826944,12.481111
San Giovanni,2018,C,41.885278,12.509444
Lodi,2015,C,41.886732,12.517762
Pigneto,2015,C,41.888456,12.528178
Malatesta,2015,C,41.8873,12.5402
Teano,2015,C,41.88923,12.551311
Gardenie,2015,C,41.8863,12.5617
Mirti,2015,C,41.8811,12.5666
Parco di Centocelle,2014,C,41.874619,12.56803
Alessandrino,2014,C,41.871349,12.578701
Torre Spaccata,2014,C,41.869,12.5866
Torre Maura,2014,C,41.866916,12.596878
Giardinetti,2014,C,41.864275,12.610113
Torrenova,2014,C,41.86332,12.61684
Torre Angela,2014,C,41.864318,12.625711
Torre Gaia,2014,C,41.864085,12.635554
Grotte Celoni,2014,C,41.862666,12.646096
Due Leoni-Fontana Candida,2014,C,41.864907,12.658093
Borghesiana,2014,C,41.864707,12.6673
Bolognetta,2014,C,41.865134,12.680883
Finocchio,2014,C,41.865482,12.687809
Graniti,2014,C,41.86569,12.69802
Monte Compatri-Pantano,2014,C,41.865688,12.707623
