,Station,Opened,Type,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,Alessandrino,2014,underground,C,41.871349,12.578700999999999,4,7,1,7,5,8,6,3,13,5
1,Anagnina,1980,underground,A,41.842778,12.586111,3,3,0,9,4,1,3,0,12,10
2,Arco di Travertino,1980,underground,A,41.866704799999994,12.5350705,5,5,0,37,16,17,16,6,23,8
3,Baldo degli Ubaldi,2000,underground,A,41.898889000000004,12.432777999999999,13,8,1,49,5,19,28,4,48,30
4,Barberini - Fontana di Trevi,1980,underground,A,41.903889,12.488889,49,27,9,230,88,74,63,5,56,92
5,Basilica San Paolo,1955,overground,B,41.856111,12.478194,9,30,1,65,17,22,29,4,21,8
6,Battistini,2000,underground,A,41.906461,12.414722,4,2,0,22,6,12,9,9,19,10
7,Bologna,1990,underground,B,41.913333,12.520556,10,28,1,39,18,24,22,6,30,65
8,Bolognetta,2014,overground,C,41.865134000000005,12.680883,0,1,0,5,4,5,10,0,26,3
9,Borghesiana,2014,in trincea,C,41.864707,12.6673,0,1,0,7,5,4,7,0,11,3
10,Castro Pretorio,1990,underground,B,41.906110999999996,12.505556,20,53,9,121,34,43,46,4,50,87
11,Cavour,1955,underground,B,41.895,12.493611,44,31,13,44,33,64,51,10,46,69
12,Cinecittà,1980,underground,A,41.8493002,12.5743771,3,10,0,18,8,7,17,4,24,5
13,Cipro,1999,underground,A,41.9075,12.4475,40,3,6,96,21,22,31,18,37,42
14,Circo Massimo,1955,underground,B,41.883611,12.488056,9,5,5,107,34,41,54,19,16,43
15,Colli Albani,1980,underground,A,41.8694,12.5301,6,5,0,51,22,21,24,4,27,11
16,Colosseo,1955,underground,B,41.891389000000004,12.491389,35,22,8,172,59,59,47,9,33,65
17,Conca d'Oro,2012,underground,B,41.939444,12.527778,5,3,0,47,17,14,12,2,23,12
18,Cornelia,2000,underground,A,41.902221999999995,12.425278,14,5,0,31,6,14,25,4,35,19
19,Due Leoni-Fontana Candida,2014,surface,C,41.864907,12.658093,0,1,0,10,1,4,12,0,5,5
20,EUR Fermi,1955,in artificial gallery,B,41.828610999999995,12.471111,8,8,1,60,13,15,44,1,20,12
21,EUR Magliana,1955,surface,B,41.839444,12.463333,5,3,4,40,15,16,34,0,19,6
22,EUR Palasport,1955,in artificial gallery,B,41.83,12.466667,8,4,3,52,12,14,39,3,21,8
