,Station,Opened,Type
0,Alessandrino,9 novembre 2014,sotterranea
1,Anagnina,11 giugno 1980,sotterranea
2,Arco di Travertino,16 febbraio 1980,sotterranea
3,Baldo degli Ubaldi,1º gennaio 2000,sotterranea
4,Barberini - Fontana di Trevi,16 febbraio 1980,sotterranea
5,Basilica San Paolo,9 febbraio 1955,sopraelevata
6,Battistini,1º gennaio 2000,sotterranea
7,Bologna,8 dicembre 1990,sotterranea
8,Bolognetta,9 novembre 2014,sopraelevata
9,Borghesiana,9 novembre 2014,in trincea
10,Castro Pretorio,8 dicembre 1990,sotterranea
11,Cavour,9 febbraio 1955,sotterranea
12,Cinecittà,16 febbraio 1980,sotterranea
13,Cipro,29 maggio 1999,sotterranea
14,Circo Massimo,9 febbraio 1955,sotterranea
15,Colli Albani - Parco Appia Antica,16 febbraio 1980,sotterranea
16,Colosseo,9 febbraio 1955,sotterranea
17,Conca d'Oro,12 giugno 2012,sotterranea
18,Cornelia,1º gennaio 2000,sotterranea
19,Due Leoni-Fontana Candida,9 novembre 2014,in superficie
20,EUR Fermi,9 febbraio 1955,in galleria artificiale
21,EUR Magliana,9 febbraio 1955,in superficie
22,EUR Palasport,9 febbraio 1955,in galleria artificiale
23,Finocchio,9 novembre 2014,sotterranea
24,Flaminio - Piazza del Popolo,16 febbraio 1980,sotterranea
25,Furio Camillo,16 febbraio 1980,sotterranea
26,Garbatella,8 dicembre 1990,in superficie
27,Gardenie,29 giugno 2015,sotterranea
28,Giardinetti,9 novembre 2014,in trincea
29,Giulio Agricola,16 febbraio 1980,sotterranea
30,Graniti,9 novembre 2014,in superficie
31,Grotte Celoni,9 novembre 2014,in superficie
32,Jonio,21 aprile 2015,sotterranea
33,Laurentina,9 febbraio 1955,in galleria artificiale
34,Lepanto,16 febbraio 1980,sotterranea
35,Libia,12 giugno 2012,sotterranea
36,Lodi,29 giugno 2015,sotterranea
37,Lucio Sestio,16 febbraio 1980,sotterranea
38,Malatesta,29 giugno 2015,sotterranea
39,Manzoni - Museo della Liberazione,16 febbraio 1980,sotterranea
40,Marconi,26 aprile 1994[1],in superficie
41,Mirti,29 giugno 2015,sotterranea
42,Monte Compatri-Pantano,9 novembre 2014,sopraelevata
43,Monti Tiburtini,8 dicembre 1990,sotterranea
44,Numidio Quadrato,16 febbraio 1980,sotterranea
45,Ottaviano - San Pietro - Musei Vaticani,16 febbraio 1980,sotterranea
46,Parco di Centocelle,9 novembre 2014,sotterranea
47,Pietralata,8 dicembre 1990,sotterranea
48,Pigneto,29 giugno 2015,sotterranea
49,Piramide,9 febbraio 1955,in trincea
50,Policlinico,8 dicembre 1990,sotterranea
51,Ponte Lungo,16 febbraio 1980,sotterranea
52,Ponte Mammolo,13 dicembre 1995,sopraelevata
53,Porta Furba Quadraro,16 febbraio 1980,sotterranea
54,Quintiliani,23 giugno 2003,sotterranea
55,Re di Roma,16 febbraio 1980,sotterranea
56,Rebibbia,8 dicembre 1990,sotterranea
57,Repubblica - Teatro dell'Opera,16 febbraio 1980,sotterranea
58,San Giovanni,16 febbraio 1980 (MA)12 maggio 2018 (MC),sotterranea
59,Santa Maria del Soccorso,8 dicembre 1990,sotterranea
60,Sant'Agnese/Annibaliano,12 giugno 2012,sotterranea
61,Spagna,16 febbraio 1980,sotterranea
62,Subaugusta,16 febbraio 1980,sotterranea
63,Teano,29 giugno 2015,sotterranea
64,Termini,9 febbraio 1955 (MB)16 febbraio 1980 (MA),sotterranea
65,Tiburtina,8 dicembre 1990,sotterranea
66,Torre Angela,9 novembre 2014,in superficie
67,Torre Gaia,9 novembre 2014,in superficie
68,Torre Maura,9 novembre 2014,sotterranea
69,Torre Spaccata,9 novembre 2014,sotterranea
70,Torrenova,9 novembre 2014,in superficie
71,Valle Aurelia,29 maggio 1999,sotterranea
72,Vittorio Emanuele,16 febbraio 1980,sotterranea
